Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
5.0	 Peticiones	 4.447679713131512	 1.1	 4.892447684444663	 8.895359426263024	 5.160094749422744E-6	 2.29500273197586E-5	 62.267515983841164	 0.015099247967674386	 0.0662607317838849	 57.81983627070966	 0.00907726024381556	 0.03911916662567403
10.0	 Peticiones	 8.890255498465983	 1.1	 9.779281048312582	 17.780510996931966	 5.160213070555971E-6	 4.587371837208447E-5	 124.46357697852376	 0.015366495124967332	 0.13244542617015648	 115.57332148005779	 0.009455409724997055	 0.0781934421137627
15.0	 Peticiones	 13.327133784620854	 1.1	 14.65984716308294	 26.654267569241707	 5.160331248745734E-6	 6.87680103286436E-5	 186.57987298469195	 0.01565257273041047	 0.19854524023920023	 173.2527392000711	 0.009865597191811204	 0.1172176057605921
20.0	 Peticiones	 17.75762718106346	 1.1	 19.533389899169805	 35.51525436212692	 5.160449266203441E-6	 9.162935625428744E-5	 248.60678053488843	 0.015959479282403058	 0.2645499333705908	 230.84915335382496	 0.010311962208019143	 0.15618561168459735
25.0	 Peticiones	 22.180935619200902	 1.1	 24.399029181120994	 44.361871238401804	 5.160567102245879E-6	 1.1445362779507665E-4	 310.5330986688126	 0.016289495323088994	 0.33044758628644355	 288.3521630496117	 0.010799368870368318	 0.19509042295447582
30.0	 Peticiones	 26.596122878731748	 1.1	 29.255735166604925	 53.192245757463496	 5.160684732696522E-6	 1.372359940542558E-4	 372.34572030224444	 0.01664523249715967	 0.3962242513452274	 345.74959742351274	 0.011333566615129303	 0.23392380512882602
35.0	 Peticiones	 31.002087168895915	 1.1	 34.10229588578551	 62.00417433779183	 5.16080212913625E-6	 1.5997076979150292E-4	 434.0292203645428	 0.01702969250014126	 0.46186351426652095	 403.0271331956469	 0.011921394363375361	 0.27267606750617884
40.0	 Peticiones	 35.397523994826045	 1.1	 38.937276394308654	 70.79504798965209	 5.160919257958944E-6	 1.8265122381330237E-4	 495.56533592756466	 0.017446338066345733	 0.5273459409205993	 460.1678119327386	 0.012571041739185086	 0.31133573651933294
45.0	 Peticiones	 39.78087893801651	 1.1	 43.758966831818164	 79.56175787603301	 5.1610360791723554E-6	 2.0526933532016516E-4	 556.9323051322311	 0.01789917858373519	 0.5926483738603611	 517.1514261942145	 0.013292386076355682	 0.3498891404202198
50.0	 Peticiones	 44.15028715286357	 1.1	 48.56531586814993	 88.30057430572714	 5.161152544864007E-6	 2.27815481708776E-4	 618.1040201400899	 0.018392873396765798	 0.6577430309516739	 573.9537329872264	 0.014097430924847953	 0.38831987712716776
