
HORA INICIO DE MEDICION  Wed Dec 22 09:58:42 2021

HORA FIN DE MEDICION Wed Dec 22 10:02:02 2021
 

Parametros del experimento: 
Usuarios: 150; Tpo. Reflex (seg); 2.000000; IP servidor: 192.168.203.235; Transitorio (seg): 0; Medicion (seg): 200 
Nº usu.; Nº pet.; Tpo Reflex (mseg); Tpo. Ini. (mseg); Tpo. Fin (mseg)
0;0;10090.637695;0.599258;3722.587158
0;1;954.746887;13824.079102;15654.465820
0;2;1224.158203;16613.925781;18537.964844
0;3;9.728451;19775.167969;21691.710938
0;4;95.509209;21712.904297;23771.384766
0;5;681.422180;23879.275391;25711.855469
0;6;2479.420654;26396.433594;28139.074219
0;7;2767.650879;30633.808594;32858.812500
0;8;7356.328125;35634.359375;37029.683594
0;9;19.812765;44399.066406;45913.468750
0;10;124.983620;45941.296875;47296.183594
0;11;147.657242;47434.898438;49575.523438
0;12;341.546234;49732.093750;51522.789063
0;13;519.766296;51874.207031;53250.476563
0;14;1303.730103;53772.285156;55776.734375
0;15;1273.273193;57085.375000;58592.714844
0;16;863.872559;59874.394531;61674.804688
0;17;1009.298950;62545.558594;64153.613281
0;18;5893.033203;65177.503906;66904.148438
0;19;1396.145630;72807.398438;74131.187500
0;20;4527.766602;75532.429688;76955.953125
0;21;8747.458984;81491.890625;82959.046875
0;22;110.288788;91713.000000;93602.414063
0;23;3986.753418;93718.562500;95443.398438
0;24;3400.999512;99431.492188;101444.351563
0;25;151.143127;104851.031250;106930.609375
0;26;2119.703613;107091.304688;108332.726563
0;27;666.205078;110464.507813;112117.195313
0;28;1554.228149;112793.765625;114405.570313
0;29;88.925690;115968.960938;117869.117188
0;30;148.380325;117961.226563;120065.648438
0;31;3167.180176;120215.101563;121526.593750
0;32;1166.244141;124695.250000;125936.429688
0;33;3590.183105;127118.039063;128865.890625
0;34;3288.559082;132457.531250;134327.984375
0;35;1362.570190;137619.671875;139537.593750
0;36;6175.929688;140912.468750;142419.937500
0;37;1333.112061;148601.531250;150133.296875
0;38;480.576935;151470.296875;152901.890625
0;39;933.316589;153393.265625;154715.781250
0;40;1160.020630;155656.156250;157429.375000
0;41;1030.337280;158599.312500;160513.406250
0;42;266.932007;161557.359375;163270.828125
0;43;777.668518;163550.140625;165069.187500
0;44;1625.036987;165854.328125;167494.781250
0;45;259.134949;169133.781250;170614.218750
0;46;4396.525391;170873.578125;173085.796875
0;47;4575.904297;177487.921875;179266.500000
0;48;798.851013;183854.218750;185919.453125
0;49;7273.524902;186731.359375;188470.484375
0;50;3079.893311;195758.031250;197456.656250
1;0;10062.402344;0.488902;3657.962891
1;1;105.907784;13730.260742;15530.918945
1;2;4875.104004;15644.416992;17496.261719
1;3;630.752136;22384.843750;24177.408203
1;4;2632.524658;24817.789063;26658.333984
1;5;370.058228;29305.478516;30870.767578
1;6;1911.926392;31243.259766;33227.902344
1;7;3649.477051;35150.039063;36780.296875
1;8;1272.811890;40436.261719;41750.839844
1;9;440.010132;43031.164063;44973.339844
1;10;134.622772;45422.503906;46938.820313
1;11;144.768021;47082.476563;48994.230469
1;12;1313.123047;49153.941406;50711.949219
1;13;2574.198486;52030.457031;53521.507813
1;14;3235.854980;56100.875000;57863.046875
1;15;5688.830566;61113.664063;62955.527344
1;16;1520.003296;68650.437500;70147.140625
1;17;3591.653320;71681.757813;73137.945313
1;18;4444.385742;76742.218750;78722.179688
1;19;3069.953613;83181.617188;85225.859375
1;20;1586.753662;88305.273438;90709.695313
1;21;1446.960449;92306.734375;94600.445313
1;22;1809.943359;96049.851563;97545.929688
1;23;2097.979492;99368.984375;101639.554688
1;24;929.621277;103738.859375;105554.656250
1;25;2658.414307;106494.460938;108119.976563
1;26;6.419220;110792.656250;112324.953125
1;27;3033.183350;112340.226563;113925.726563
1;28;536.537292;116973.539063;118848.171875
1;29;1094.180908;119386.921875;121165.023438
1;30;7818.986328;122269.992188;123918.109375
1;31;324.316345;131738.359375;133681.578125
1;32;33.669121;134020.187500;135382.515625
1;33;100.380829;135416.312500;136617.578125
1;34;617.825500;136729.015625;138410.171875
1;35;1529.160278;139032.875000;140833.656250
1;36;4444.948730;142368.375000;144584.687500
1;37;142.931442;149039.046875;150430.421875
1;38;153.448517;150573.156250;152324.765625
1;39;204.985016;152486.625000;154063.562500
1;40;1252.500000;154276.281250;156034.187500
1;41;4340.672363;157292.484375;159139.296875
1;42;61.610138;163487.640625;165068.718750
1;43;5705.689941;165135.125000;167055.171875
1;44;7947.860352;172764.359375;174343.281250
1;45;1869.822998;182290.937500;184567.421875
1;46;3214.729736;186450.109375;188135.953125
1;47;1896.742432;191361.625000;193028.875000
1;48;2397.211670;194939.328125;196639.593750
2;0;10025.364258;4.938422;3540.256592
2;1;2571.768066;13574.000000;16157.167969
2;2;915.969421;18743.792969;20470.462891
2;3;1536.384521;21400.333984;23155.416016
2;4;1079.467285;24692.833984;26529.062500
2;5;100.637550;27617.878906;29858.921875
2;6;1470.248901;29961.867188;31780.349609
2;7;5264.064453;33259.535156;34953.406250
2;8;6819.373535;40229.906250;41680.015625
2;9;972.633728;48513.246094;50220.640625
2;10;144.308746;51202.250000;52644.964844
2;11;141.882828;52802.878906;54359.527344
2;12;3277.529541;54507.132813;56601.613281
2;13;494.206055;59890.093750;61803.269531
